umbral,n,TEC_OBSERVACION_TERRENO,SOC_OBSERVACION_TERRENO,brecha_OBSERVACION_TERRENO,TEC_INTERACCION_ESTRUCTURADA,SOC_INTERACCION_ESTRUCTURADA,brecha_INTERACCION_ESTRUCTURADA,TEC_INTERACCION_EXPERIENCIAL,SOC_INTERACCION_EXPERIENCIAL,brecha_INTERACCION_EXPERIENCIAL
0.3,44806,46.6,66.5,19.9,43.9,73.6,29.8,41.8,83.4,41.6
0.35,42208,46.5,65.1,18.5,43.6,72.4,28.8,41.3,82.7,41.4
0.4,37784,46.8,62.4,15.6,43.6,69.8,26.3,40.7,81.1,40.4
0.45,32393,47.3,59.5,12.2,43.7,66.7,23.0,40.0,79.1,39.1
0.5,25769,48.2,56.4,8.2,44.2,63.1,18.9,39.3,76.4,37.1
